Infinitive,Partizip II,Hilfsverb
überlaufen,übergelaufen,sein
übertrumpfen,übertrumpft,haben
beklagen,beklagt,haben
hinpflanzen,hingepflanzt,haben
konfrontieren,konfrontiert,haben
heraufbeschwören,heraufbeschworen,haben
erwägen,erwogen,haben
beschwören,beschworen,haben
brocken,gebrockt,haben
abbrocken,abgebrockt,haben
abrocken,abgerockt,haben
einschreiben,eingeschrieben,haben
krönen,gekrönt,haben
zerbröseln,zerbröselt,sein
bröseln,bröselt,sein
krauchen,gekraucht,sein
langweilen,gelangweilt,haben
futtern,gefuttert,haben
verwackeln,verwackelt,haben
abspülen,abgespült,haben
nachäffen,nachgeäfft,haben
prokrastinieren,prokrastiniert,haben
maiumen,maiumt,haben
maimeln,gemaimelt,haben
meimeln,gemeimelt,haben
verwehen,verweht,sein
blöken,geblökt,haben
schrumpfen,geschrumpft,sein
sündigen,gesündigt,haben
schnattern,geschnattert,haben
bekochen,bekocht,haben
aufteilen,aufgeteilt,haben
belustigen,belustigt,haben
muddeln,gemuddelt,haben
bespaßen,bespaßt,haben
überblicken,überblickt,haben
runden,gerundet,haben
arrestieren,arrestiert,haben
erfordern,erfordert,haben
haushalten,gehaushaltet,haben
konterminieren,konterminiert,haben
verminen,vermint,haben
outsourcen,outgesourct,haben
unterpflügen,untergepflügt,haben
entflammen,entflammt,haben
verwahren,verwahrt,haben
tarnen,getarnt,haben
stochen,gestocht,haben
beherzigen,beherzigt,haben
revolvieren,revolviert,haben
abecedieren,abecediert,haben
riestern,geriestert,haben
picken,gepickt,haben
verhunzen,verhunzt,haben
verunstalten,verunstaltet,haben
absterben,abgestorben,sein
feuern,gefeuert,haben
munizipalisieren,munizipalisiert,haben
kleinreden,kleingeredet,haben
kandidieren,kandidiert,haben
aufspielen,aufgespielt,haben
brausen,gebraust,sein
schmettern,geschmettert,haben
aufschließen,aufgeschlossen,haben
zuschließen,zugeschlossen,haben
großziehen,großgezogen,haben
mulatieren,mulatiert,haben
kegeln,gekegelt,haben
knietschen,geknietscht,haben
verschlampen,verschlampt,haben
schlampen,geschlampt,haben
einkochen,eingekocht,haben
einmachen,eingemacht,haben
betuppen,betuppt,haben
einbrennen,eingebrannt,haben
entriegeln,entriegelt,haben
rekuperieren,rekuperiert,haben
ausgrauen,ausgegraut,haben
läppern,geläppert,haben
kaputtmachen,kaputtgemacht,haben
geheien,geheit,haben
piepen,gepiept,haben
dastehen,dagestanden,haben
hofieren,hofiert,haben
herrühren,hergerührt,haben
alteln,gealtelt,sein
herumhacken,herumgehackt,haben
umhinkönnen,umhingekonnt,haben
vorliebnehmen,vorliebgenommen,haben
zunichtemachen,zunichtegemacht,haben
zernichten,zernichtet,haben
tracheotomieren,tracheotomiert,haben
nitrieren,nitriert,haben
überanstrengen,überanstrengt,haben
ertränken,ertränkt,haben
übervorteilen,übervorteilt,haben
maßregeln,gemaßregelt,haben
dartun,dargetan,haben
degraissieren,degraissiert,haben
conchieren,conchiert,haben
transferieren,transferiert,haben
dabei sein,dabei gewesen,sein
stricken,gestrickt,haben
herumdrucksen,herumgedruckst,haben
bewenden,bewendet,haben
auskommentieren,auskommentiert,haben
ersticken,erstickt,sein
enthaupten,enthauptet,haben
erhängen,erhängt,haben
erschlagen,erschlagen,haben
häuten,gehäutet,haben
vergasen,vergast,haben
skalpieren,skalpiert,haben
schlecken,geschleckt,haben
wurmen,gewurmt,haben
anellieren,anelliert,haben
nasführen,genasführt,haben
sprudeln,gesprudelt,sein
verbleichen,verblichen,sein
kodieren,kodiert,haben
durchwinken,durchgewinkt,haben
kapitulieren,kapituliert,haben
besänftigen,besänftigt,haben
zuraten,zugeraten,haben
toben,getobt,haben
aufplustern,aufgeplustert,haben
verdünnisieren,verdünnisiert,haben
containerisieren,containerisiert,haben
wölben,gewölbt,haben
müffeln,gemüffelt,haben
abaasen,abgeaast,haben
morden,gemordet,haben
deflorieren,defloriert,haben
löcken,gelöckt,haben
timbrieren,timbriert,haben
honen,gehont,haben
läppen,geläppt,haben
schlichten,geschlichtet,haben
verreißen,verrissen,haben
verbalisieren,verbalisiert,haben
blechen,geblecht,haben
koppen,gekoppt,haben
aufstoßen,aufgestoßen,haben
meißeln,gemeißelt,haben
eintüten,eingetütet,haben
verlustieren,verlustiert,haben
nachahmen,nachgeahmt,haben
beigen,gebeigt,haben
auslegen,ausgelegt,haben
strecken,gestreckt,haben
rentieren,rentiert,haben
verwässern,verwässert,haben
scharren,gescharrt,haben
freimachen,freigemacht,haben
frankieren,frankiert,haben
zwangsbeglücken,zwangsbeglückt,haben
schnupfen,geschnupft,haben
colorieren,coloriert,haben
kolorieren,koloriert,haben
fuckeln,gefuckelt,haben
vorbeizwängen,vorbeigezwängt,haben
nachsehen,nachgesehen,haben
glotzen,geglotzt,haben
großschreiben,großgeschrieben,haben
beringen,beringt,haben
begeben,begeben,haben
entrappen,entrappt,haben
aufsehen,aufgesehen,haben
piken,gepikt,haben
einnorden,eingenordet,haben
situieren,situiert,haben
rekonstruieren,rekonstruiert,haben
bosseln,gebosselt,haben
leiben,—,haben
einkleiden,eingekleidet,haben
beäugen,beäugt,haben
volltanken,vollgetankt,haben
brunchen,gebruncht,haben
kalkulieren,kalkuliert,haben
liebbehalten,liebbehalten,haben
lieb behalten,lieb behalten,haben
auftischen,aufgetischt,haben
antun,angetan,haben
klassifizieren,klassifiziert,haben
eindosen,eingedost,haben
aufschneiden,aufgeschnitten,haben
wankeln,gewankelt,haben
überziehen,übergezogen,haben
heimleuchten,heimgeleuchtet,haben
filibustern,filibustert,haben
anschalten,angeschaltet,haben
überragen,überragt,haben
überbacken,überbacken,haben
schluchzen,geschluchzt,haben
begrenzen,begrenzt,haben
begleichen,beglichen,haben
belangen,belangt,haben
nachhaken,nachgehakt,haben
entrichten,entrichtet,haben
balgen,gebalgt,haben
umgarnen,umgarnt,haben
überrunden,überrundet,haben
vorturnen,vorgeturnt,haben
ratzen,geratzt,haben
verdreschen,verdroschen,haben
wappnen,gewappnet,haben
bibliografieren,bibliografiert,haben
appropriieren,appropriiert,haben
vorlassen,vorgelassen,haben
erbauen,erbaut,haben
bewirten,bewirtet,haben
ähnlichsehen,ähnlichgesehen,haben
degustieren,degustiert,haben
gustieren,gustiert,haben
abwürgen,abgewürgt,haben
chippen,gechippt,haben
preisgeben,preisgegeben,haben
entzweibrechen,entzweigebrochen,haben
verzupfen,verzupft,haben
verlupfen,verlupft,haben
verheben,verhoben,haben
verleiden,verleidet,haben
verduften,verduftet,haben
einigeln,eingeigelt,haben
verblenden,verblendet,haben
verkorksen,verkorkst,haben
verjüngen,verjüngt,haben
widersetzen,widersetzt,haben
ausantworten,ausgeantwortet,haben
beiwohnen,beigewohnt,haben
verkorken,verkorkt,"haben
<!-- |Hilfsverb*=sein -->"
ausstopfen,ausgestopft,haben
muffeln,gemuffelt,haben
verschimmeln,verschimmelt,haben
schimmeln,geschimmelt,haben
vergraben,vergraben,haben
abklatschen,abgeklatscht,haben
konspektieren,konspektiert,haben
ehebrechen,ehegebrochen,haben
hüllen,gehüllt,haben
aufschreiben,aufgeschrieben,haben
pusseln,gepusselt,haben
tremolieren,tremoliert,haben
suggeln,gesuggelt,haben
voranbringen,vorangebracht,haben
verlottern,verlottert,sein
darniederliegen,darniedergelegen,haben
grämen,gegrämt,haben
abprotzen,abgeprotzt,haben
stiefeln,gestiefelt,sein
flashen,geflasht,haben
flehmen,geflehmt,haben
kalmieren,kalmiert,haben
verkopfen,verkopft,haben
abtauchen,abgetaucht,sein
bowlen,gebowlt,haben
daheimbleiben,daheimgeblieben,sein
demonstrieren,demonstriert,haben
doppelklicken,doppelgeklickt,haben
durchregieren,durchregiert,haben
verstümmeln,verstümmelt,haben
andicken,angedickt,haben
habitualisieren,habitualisiert,haben
substanziieren,substanziiert,haben
parzellieren,parzelliert,haben
inhaftieren,inhaftiert,haben
aufarbeiten,aufgearbeitet,haben
ersaufen,ersoffen,sein
ellbögeln,geellbögelt,haben
muffen,gemufft,haben
grünen,gegrünt,haben
totschweigen,totgeschwiegen,haben
teleportieren,teleportiert,haben
netzwerken,genetzwerkt,haben
mediatisieren,mediatisiert,haben
stillstehen,stillgestanden,haben
uraufführen,uraufgeführt,haben
abknutschen,abgeknutscht,haben
busseln,gebusselt,haben
abküssen,abgeküsst,haben
eincremen,eingecremt,haben
verlautern,verlautert,haben
verleisern,verleisert,haben
verfliegen,verflogen,haben
treideln,getreidelt,haben
einbrocken,eingebrockt,haben
durchmachen,durchgemacht,haben
schocken,geschockt,haben
durchgehen,durchgegangen,sein
intermittieren,intermittiert,haben
staubsaugen,gestaubsaugt,haben
interponieren,interponiert,haben
interpungieren,interpungiert,haben
interpunktieren,interpunktiert,haben
einsparen,eingespart,haben
abführen,abgeführt,haben
gutheißen,gutgeheißen,haben
anbrennen,angebrannt,haben
wichtigmachen,wichtiggemacht,haben
wiedereröffnen,wiedereröffnet,haben
fluktuieren,fluktuiert,haben
klönen,geklönt,haben
zugrunde liegen,zugrunde gelegen,haben
zu Grunde liegen,zu Grunde gelegen,haben
bedachen,bedacht,haben
erbarmen,erbarmt,haben
frommen,gefrommt,haben
eintunken,eingetunkt,haben
drausbringen,drausgebracht,haben
eintauchen,eingetaucht,haben
strammstehen,strammgestanden,haben
anstimmen,angestimmt,haben
aufpudeln,aufgepudelt,haben
statuieren,statuiert,haben
nötigen,genötigt,haben
politisieren,politisiert,haben
törggelen,getörggelt,haben
schockieren,schockiert,haben
standhalten,standgehalten,haben
komplizieren,kompliziert,haben
losschlagen,losgeschlagen,haben
tröten,getrötet,haben
überhandnehmen,überhandgenommen,haben
fauchen,gefaucht,haben
diskriminieren,diskriminiert,haben
sympathisieren,sympathisiert,haben
ausgraben,ausgegraben,haben
abschmettern,abgeschmettert,haben
abwandern,abgewandert,sein
anpissen,angepisst,haben
frosten,gefrostet,haben
tiefkühlen,tiefgekühlt,haben
zollen,gezollt,haben
begöschen,begöscht,haben
verfahren,verfahren,haben
anmaßen,angemaßt,haben
anstreichen,angestrichen,haben
wegklicken,weggeklickt,haben
wiedererkennen,wiedererkannt,haben
knien,gekniet,haben
anhäufen,angehäuft,haben
aufliefern,aufgeliefert,haben
fallieren,falliert,haben
fehlinterpretieren,fehlinterpretiert,haben
versaubeuteln,versaubeutelt,haben
verschlucken,verschluckt,haben
outen,geoutet,haben
verfehlen,verfehlt,haben
bescheinigen,bescheinigt,haben
brabbeln,gebrabbelt,haben
einflößen,eingeflößt,haben
aufscheinen,aufgeschienen,sein
aufblitzen,aufgeblitzt,haben
getrauen,getraut,haben
verwerfen,verworfen,haben
sülzen,gesülzt,haben
faschieren,faschiert,haben
strippen,gestrippt,haben
vonstattengehen,vonstattengegangen,sein
europäisieren,europäisiert,haben
mitwirken,mitgewirkt,haben
tottrampeln,totgetrampelt,haben
verabsolutieren,verabsolutiert,haben
bonitieren,bonitiert,haben
piercen,gepierct,haben
kontrastieren,kontrastiert,haben
unieren,uniert,haben
zusammentrommeln,zusammengetrommelt,haben
hinterlaufen,hinterlaufen,haben
einschläfern,eingeschläfert,haben
beleuchten,beleuchtet,haben
heiß laufen,heiß gelaufen,haben
eislaufen,eisgelaufen,sein
lahmlegen,lahmgelegt,haben
stilllegen,stillgelegt,haben
schürfen,geschürft,haben
wohlwollen,wohlgewollt,haben
touren,getourt,haben
abfrühstücken,abgefrühstückt,haben
kriminalisieren,kriminalisiert,haben
durchziehen,durchgezogen,haben
durchwachsen,durchgewachsen,sein
durchsagen,durchgesagt,haben
dressen,gedresst,haben
mitgehen,mitgegangen,sein
schütten,geschüttet,haben
eingestehen,eingestanden,haben
denominieren,denominiert,haben
kappen,gekappt,haben
entstammen,entstammt,sein
auspowern,ausgepowert,haben
digitalisieren,digitalisiert,haben
grillieren,grilliert,haben
kampieren,kampiert,haben
notwassern,notgewassert,sein
nachstellen,nachgestellt,haben
daniederliegen,daniedergelegen,haben
kaptivieren,kaptiviert,haben
beschweigen,beschwiegen,haben
biwakieren,biwakiert,haben
regalieren,regaliert,haben
brüsten,gebrüstet,haben
lobhudeln,gelobhudelt,haben
auslosen,ausgelost,haben
erleuchten,erleuchtet,haben
umwerfen,umgeworfen,haben
refutieren,refutiert,haben
affichieren,affichiert,haben
nachtarocken,nachtarockt,haben
staffieren,staffiert,haben
pulen,gepult,haben
delogarithmieren,delogarithmiert,haben
entlogarithmieren,entlogarithmiert,haben
antilogarithmieren,antilogarithmiert,haben
exponenzieren,exponenziert,haben
schlussfolgern,geschlussfolgert,haben
spratzen,gespratzt,haben
immortalisieren,immortalisiert,haben
interzedieren,interzediert,haben
hochhieven,hochgehievt,haben
subjektivieren,subjektiviert,haben
subministrieren,subministriert,haben
waleien,gewaleit,haben
residieren,residiert,haben
handhaben,gehandhabt,haben
verkündigen,verkündigt,haben
submittieren,submittiert,haben
zerschlagen,zerschlagen,haben
miefen,gemieft,haben
nacktbaden,nacktgebadet,haben
subrogieren,subrogiert,haben
lichten,gelichtet,haben
bereitstehen,bereitgestanden,haben
mäßigen,gemäßigt,haben
schwirren,geschwirrt,sein
simulieren,simuliert,haben
queren,gequert,haben
retournieren,retourniert,haben
abpflücken,abgepflückt,haben
grausen,gegraust,haben
inszenieren,inszeniert,haben
tünchen,getüncht,haben
herausschneiden,herausgeschnitten,haben
verbeugen,verbeugt,haben
roden,gerodet,haben
remisieren,remisiert,haben
mehlieren,mehliert,haben
betanzen,betanzt,haben
auslichten,ausgelichtet,haben
anläuten,angeläutet,haben
aufringen,aufgerungen,haben
fenzen,gefenzt,haben
festfragen,gefestfragt,haben
novellieren,novelliert,haben
segnen,gesegnet,haben
kehrtmachen,kehrtgemacht,haben
erschallen,erschallt,haben
exaggerieren,exaggeriert,haben
klehen,gekleht,haben
aggravieren,aggraviert,haben
erzwingen,erzwungen,haben
kauderwelschen,gekauderwelscht,haben
missraten,missraten,haben
evolvieren,evolviert,haben
ruminieren,ruminiert,haben
verjähren,verjährt,sein
guffeln,geguffelt,haben
verkasematuckeln,verkasematuckelt,haben
supplizieren,suppliziert,haben
enteignen,enteignet,haben
bereichern,bereichert,haben
festen,gefestet,haben
aerifizieren,aerifiziert,haben
schnellen,geschnellt,haben
berufen,berufen,haben
manschen,gemanscht,haben
mantschen,gemantscht,haben
matschen,gematscht,haben
zedieren,zediert,haben
zusammenreißen,zusammengerissen,haben
schlingern,geschlingert,haben
schwojen,geschwojt,haben
fotokopieren,fotokopiert,haben
photokopieren,photokopiert,haben
beheben,behoben,haben
befassen,befasst,haben
dazusagen,dazugesagt,haben
abwehren,abgewehrt,haben
glucksen,gegluckst,haben
abdreschen,abgedroschen,haben
freihalten,freigehalten,haben
näherkommen,nähergekommen,sein
abkönnen,abgekonnt,haben
abrutschen,abgerutscht,sein
zusammenbrechen,zusammengebrochen,sein
auswürgen,ausgewürgt,haben
zusammenschrauben,zusammengeschraubt,haben
bladen,gebladet,sein
inlinen,geinlinet,sein
inlinern,geinlinert,sein
inlineskaten,inlinegeskatet,sein
rollerbladen,rollergebladet,sein
menstruieren,menstruiert,haben
verbuchen,verbucht,haben
mitspielen,mitgespielt,haben
verurteilen,verurteilt,haben
lüften,gelüftet,haben
überwältigen,überwältigt,haben
buben,gebubt,haben
letzen,geletzt,haben
flitzen,geflitzt,haben
quieken,gequiekt,haben
quieksen,gequiekst,haben
fouragieren,fouragiert,haben
tunneln,getunnelt,haben
runterholen,runtergeholt,haben
hochkriegen,hochgekriegt,haben
verblöden,verblödet,sein
verschmerzen,verschmerzt,haben
abbrühen,abgebrüht,haben
abdüsen,abgedüst,sein
abrackern,abgerackert,haben
festschrauben,festgeschraubt,haben
draufkommen,draufgekommen,sein
podcasten,gepodcastet,haben
schuppen,geschuppt,haben
anwackeln,angewackelt,sein
föhnen,geföhnt,haben
einkriegen,eingekriegt,haben
elektrifizieren,elektrifiziert,haben
aufgeilen,aufgegeilt,haben
ertrügen,ertrogen,haben
schmauchen,geschmaucht,haben
umgraben,umgegraben,haben
stromern,gestromert,sein
verspringen,versprungen,sein
drankriegen,drangekriegt,haben
asphaltieren,asphaltiert,haben
ausbaggern,ausgebaggert,haben
faken,gefakt,haben
shishen,geshisht,haben
fisten,gefistet,haben
abpölen,abgepölt,haben
zetern,gezetert,haben
pöbeln,gepöbelt,haben
einwechseln,eingewechselt,haben
absporen,abgesport,haben
richtigliegen,richtiggelegen,haben
ausbitten,ausgebeten,haben
abtupfen,abgetupft,haben
reingrätschen,reingegrätscht,haben
durchschlafen,durchgeschlafen,haben
dibbeln,gedibbelt,haben
schnacken,geschnackt,haben
wegwerfen,weggeworfen,haben
zusammenleimen,zusammengeleimt,haben
aufrechterhalten,aufrechterhalten,haben
durchlaufen,durchgelaufen,sein
flachlegen,flachgelegt,haben
anöden,angeödet,haben
infundieren,infundiert,haben
einherschreiten,einhergeschritten,sein
schwarzfahren,schwarzgefahren,sein
schwarzarbeiten,schwarzgearbeitet,haben
herumballern,herumgeballert,haben
ansammeln,angesammelt,haben
notschlachten,notgeschlachtet,haben
anfallen,angefallen,haben
verunzieren,verunziert,haben
abnudeln,abgenudelt,haben
recyceln,recycelt,haben
recyclen,recyclet,haben
bankrottieren,bankrottiert,haben
veraasen,veraast,haben
reinwaschen,reingewaschen,haben
exorzieren,exorziert,haben
exorzisieren,exorzisiert,haben
arrondieren,arrondiert,haben
ausbügeln,ausgebügelt,haben
neuern,geneuert,haben
doubeln,gedoubelt,haben
verbremsen,verbremst,haben
anschnauzen,angeschnauzt,haben
bostitchen,gebostitcht,haben
sensen,gesenst,haben
fusseln,gefusselt,haben
feuerbestatten,feuerbestattet,haben
annoncieren,annonciert,haben
inserieren,inseriert,haben
ausposaunen,ausposaunt,haben
posaunen,posaunt,haben
bloggen,gebloggt,haben
periodisieren,periodisiert,haben
abfassen,abgefasst,haben
nuscheln,genuschelt,haben
synthetisieren,synthetisiert,haben
patchen,gepatcht,haben
anbraten,angebraten,haben
bestreuen,bestreut,haben
abgießen,abgegossen,haben
einfetten,eingefettet,haben
unterheben,untergehoben,haben
einfüllen,eingefüllt,haben
verquirlen,verquirlt,haben
übergießen,übergegossen,haben
aufgießen,aufgegossen,haben
abtropfen,abgetropft,sein
aufwarten,aufgewartet,haben
mumpeln,gemumpelt,haben
anreißen,angerissen,haben
akkordieren,akkordiert,haben
überhöhen,überhöht,haben
verzerren,verzerrt,haben
erdreisten,erdreistet,haben
anknüpfen,angeknüpft,haben
bezweifeln,bezweifelt,haben
henken,gehenkt,haben
aufzwingen,aufgezwungen,haben
plustern,geplustert,haben
zahnen,gezahnt,haben
drängeln,gedrängelt,haben
konferieren,konferiert,haben
gebaren,gebart,haben
vollkotzen,vollgekotzt,haben
trollen,getrollt,haben
verpfänden,verpfändet,haben
verlöten,verlötet,haben
anbändeln,angebändelt,haben
aufschieben,aufgeschoben,haben
minimieren,minimiert,haben
anhimmeln,angehimmelt,haben
verachten,verachtet,haben
zuflüstern,zugeflüstert,haben
anbandeln,angebandelt,haben
warmhalten,warmgehalten,haben
deglacieren,deglaciert,haben
theoretisieren,theoretisiert,haben
wriggeln,gewriggelt,haben
inspizieren,inspiziert,haben
kartographieren,kartographiert,haben
missionieren,missioniert,haben
zustellen,zugestellt,haben
lobsingen,lobgesungen,haben
kurzweilen,gekurzweilt,haben
überstrapazieren,überstrapaziert,haben
niederknien,niedergekniet,haben
einschreiten,eingeschritten,sein
erforschen,erforscht,haben
strahlen,gestrahlt,haben
zücken,gezückt,haben
einlegen,eingelegt,haben
veröffentlichen,veröffentlicht,haben
eindecken,eingedeckt,haben
hofmeistern,gehofmeistert,haben
zubringen,zugebracht,haben
entglasen,entglast,haben
austragen,ausgetragen,haben
nullen,genullt,haben
schulden,geschuldet,haben
guthaben,gutgehabt,haben
entspannen,entspannt,haben
explantieren,explantiert,haben
implantieren,implantiert,haben
wiederkehren,wiedergekehrt,sein
durchqueren,durchquert,haben
emailen,geemailt,haben
e-mailen,geemailt,haben
verstauben,verstaubt,sein
päppeln,gepäppelt,haben
marmorieren,marmoriert,haben
wegkommen,weggekommen,haben
weitergeben,weitergegeben,haben
weiterleiten,weitergeleitet,haben
wimmeln,gewimmelt,haben
aufsagen,aufgesagt,haben
satthaben,sattgehabt,haben
darleihen,dargeliehen,haben
doktern,gedoktert,haben
spinksen,gespinkst,haben
abwählen,abgewählt,haben
betteln,gebettelt,haben
weiten,geweitet,haben
hampeln,gehampelt,haben
trampeln,getrampelt,sein
unterfinanzieren,unterfinanziert,haben
strampeln,gestrampelt,haben
bestreiten,bestritten,haben
verschachteln,verschachtelt,haben
bestaunen,bestaunt,haben
durchtrennen,durchtrennt,haben
staunen,gestaunt,haben
aufhauben,aufgehaubt,haben
elektrisieren,elektrisiert,haben
restaurieren,restauriert,haben
einbetten,eingebettet,haben
eingemeinden,eingemeindet,haben
entlausen,entlaust,haben
entlauben,entlaubt,haben
entrümpeln,entrümpelt,haben
erstarren,erstarrt,sein
entstauben,entstaubt,haben
entwässern,entwässert,haben
entmachten,entmachtet,haben
einbürgern,eingebürgert,haben
einwärmen,eingewärmt,haben
hleban,gehlebat,haben
shukan,geshukat,haben
verficken,verfickt,haben
zerficken,zerfickt,haben
heranmachen,herangemacht,haben
faseln,gefaselt,haben
verherrlichen,verherrlicht,haben
galvanisieren,galvanisiert,haben
gestehen,gestanden,haben
glattstellen,glattgestellt,haben
gliedern,gegliedert,haben
gratinieren,gratiniert,haben
bankrottgehen,bankrottgegangen,sein
befrieden,befriedet,haben
begünstigen,begünstigt,haben
beheimaten,beheimatet,haben
beiseitelassen,beiseitegelassen,haben
beiseiteschieben,beiseitegeschoben,haben
belächeln,belächelt,haben
besiedeln,besiedelt,haben
bemitleiden,bemitleidet,haben
bekehren,bekehrt,haben
nachsprechen,nachgesprochen,haben
befeuchten,befeuchtet,haben
positionieren,positioniert,haben
vorgaukeln,vorgegaukelt,haben
überschreiben,überschrieben,haben
verheimlichen,verheimlicht,haben
prusten,geprustet,haben
vorknöpfen,vorgeknöpft,haben
fantasieren,fantasiert,haben
herumwuseln,herumgewuselt,haben
verwachsen,verwachsen,sein
schnäuken,geschnäukt,haben
stupfen,gestupft,haben
eindeutschen,eingedeutscht,haben
ausstehen,ausgestanden,haben
zupassekommen,zupassegekommen,sein
zupasskommen,zupassgekommen,sein
prallen,geprallt,sein
vorspielen,vorgespielt,haben
sprießen,gesprossen,sein
legalisieren,legalisiert,haben
pispern,gepispert,haben
abklappern,abgeklappert,haben
aufhübschen,aufgehübscht,haben
voten,gevotet,haben
entkleiden,entkleidet,haben
entblößen,entblößt,haben
einnicken,eingenickt,haben
verrechnen,verrechnet,haben
totmachen,totgemacht,haben
abwaschen,abgewaschen,haben
embetieren,embetiert,haben
karren,gekarrt,haben
gehren,gegehrt,haben
manipulieren,manipuliert,haben
fräsen,gefräst,haben
betäuben,betäubt,haben
narkotisieren,narkotisiert,haben
einfädeln,eingefädelt,haben
heimkommen,heimgekommen,sein
erschreiben,erschrieben,haben
persuadieren,persuadiert,haben
zerfließen,zerflossen,sein
verdummen,verdummt,haben
untertauchen,untergetaucht,haben
defäkieren,defäkiert,haben
demarkieren,demarkiert,haben
denaturieren,denaturiert,haben
deprimieren,deprimiert,haben
dramatisieren,dramatisiert,haben
draufstellen,draufgestellt,haben
dübeln,gedübelt,haben
durchatmen,durchgeatmet,haben
durchnummerieren,durchnummeriert,haben
durchseihen,durchgeseiht,haben
freisprechen,freigesprochen,haben
dahinsiechen,dahingesiecht,haben
intubieren,intubiert,haben
extubieren,extubiert,haben
verdunsten,verdunstet,sein
enthaaren,enthaart,haben
jeuen,gejeut,haben
entmündigen,entmündigt,haben
kosen,gekost,haben
vorbeischauen,vorbeigeschaut,haben
schwären,geschwärt,haben
kaspern,gekaspert,haben
verscherzen,verscherzt,haben
sanden,gesandet,haben
kanten,gekantet,haben
durchleiden,durchlitten,haben
schienen,geschient,haben
wägen,gewogen,haben
knautschen,geknautscht,haben
verneigen,verneigt,haben
wilddieben,gewilddiebt,haben
schweifen,geschweift,sein
schnippeln,geschnippelt,haben
tosen,getost,haben
aufstuhlen,aufgestuhlt,haben
erblinden,erblindet,sein
imaginieren,imaginiert,haben
skandalisieren,skandalisiert,haben
umetikettieren,umetikettiert,haben
metzgen,gemetzgt,haben
abheften,abgeheftet,haben
rebeln,gerebelt,haben
einstehen,eingestanden,haben
einrücken,eingerückt,sein
einmaischen,eingemaischt,haben
maischen,gemaischt,haben
fechsen,gefechst,haben
keltern,gekeltert,haben
tschentschen,getschentscht,haben
laichen,gelaicht,haben
beleumden,beleumundet,haben
degorgieren,degorgiert,haben
eindieseln,eingedieselt,haben
pfriemeln,gepfriemelt,haben
verladen,verladen,haben
synchronisieren,synchronisiert,haben
zupacken,zugepackt,haben
ausbluten,ausgeblutet,haben
herunterstufen,heruntergestuft,haben
herabstufen,herabgestuft,haben
heraufstufen,heraufgestuft,haben
verzäunen,verzäunt,haben
vergelten,vergolten,haben
schlabbern,geschlabbert,haben
besabbern,besabbert,haben
beknabbern,beknabbert,haben
beschlabbern,beschlabbert,haben
zerbersten,zerborsten,sein
hinabblicken,hinabgeblickt,haben
bebaken,bebakt,haben
unterbringen,untergebracht,haben
bebildern,bebildert,haben
fasen,gefast,haben
chaptalisieren,chaptalisiert,haben
chambrieren,chambriert,haben
quillen,gequillt,haben
verklagen,verklagt,haben
gärtnern,gegärtnert,haben
gärteln,gegärtelt,haben
garteln,gegartelt,haben
titrieren,titriert,haben
lammen,gelammt,haben
wimmen,gewimmt,haben
wümmen,gewümmt,haben
anpflanzen,angepflanzt,haben
spriten,gespritet,haben
batiken,gebatikt,haben
flöckeln,geflöckelt,haben
kurzfassen,kurzgefasst,haben
weitermachen,weitergemacht,haben
wässern,gewässert,haben
wärmen,gewärmt,haben
haspeln,gehaspelt,haben
verschrotten,verschrottet,haben
verzagen,verzagt,haben
veranschaulichen,veranschaulicht,haben
verdampfen,verdampft,sein
häufeln,gehäufelt,haben
niedertreten,niedergetreten,haben
zerschneiden,zerschnitten,haben
adden,geaddet,haben
entmieten,entmietet,haben
einzäunen,eingezäunt,haben
umzäunen,umzäunt,haben
rudimentieren,rudimentiert,haben
petrifizieren,petrifiziert,sein
hutschen,gehutscht,haben
anecken,angeeckt,sein
einleben,eingelebt,haben
erfrischen,erfrischt,haben
überstülpen,übergestülpt,haben
daguerreotypieren,daguerreotypiert,haben
brühen,gebrüht,haben
rationieren,rationiert,haben
umstrukturieren,umstrukturiert,haben
entmannen,entmannt,haben
ablästern,abgelästert,haben
gipsen,gegipst,haben
verbraten,verbraten,haben
verprassen,verprasst,haben
stressen,gestresst,haben
dekomponieren,dekomponiert,haben
rocken,gerockt,haben
säcken,gesäckt,haben
einschiffen,eingeschifft,haben
abspulen,abgespult,haben
transmutieren,transmutiert,haben
auftanken,aufgetankt,haben
beflecken,befleckt,haben
entflecken,entfleckt,haben
bestecken,besteckt,haben
ausschiffen,ausgeschifft,haben
flecken,gefleckt,haben
erwecken,erweckt,haben
vollstrecken,vollstreckt,haben
erkecken,erkeckt,haben
belecken,beleckt,haben
trekken,getrekkt,sein
trecken,getreckt,haben
schärfen,geschärft,haben
zutrauen,zugetraut,haben
solmisieren,solmisiert,haben
dazuschauen,dazugeschaut,haben
verprellen,verprellt,haben
entstellen,entstellt,haben
gesundschrumpfen,gesundgeschrumpft,haben
missbrauchen,missbraucht,haben
ionisieren,ionisiert,haben
kuren,gekurt,haben
wällen,gewällt,haben
irrlichtern,geirrlichtert,haben
runterwirtschaften,runtergewirtschaftet,haben
herunterwirtschaften,heruntergewirtschaftet,haben
beibleiben,beigeblieben,sein
häckseln,gehäckselt,haben
entwarnen,entwarnt,haben
neutralisieren,neutralisiert,haben
überladen,überladen,haben
fetten,gefettet,haben
verhängen,verhängt,haben
